Paddle Name,Brand,Price,Discount Code,Link to Paddle,Year Released,Approval Body,Shape,Grit Type,Build Type,Paddle Type,Core Thickness (mm),Grip Length (in),Grip Size (in),Weight (oz),Swingweight,Swingweight Percentile,Twistweight,Twistweight Percentile,Balance Point (mm),Spin Rating,Spin (RPM),Power (MPH),Power Percentile,Pop (MPH),Pop Percentile,Firepower Percentile,Firepower Z,Firepower Z Tier
Project 006 Maxima,Selkirk Labs,$333.00,INF-BRAYDONU,https://a8qh.short.gy/006,2023,USAP,Elongated,Raw Texture/Peel Ply,Gen 2,Control,16,5.75,4.25,8.39,118,71%,5.97,24%,236,Low,1848,54.1,13%,34.4,4%,9%,20.0,Firepower Soft
Project 007 Epic 14mm,Selkirk Labs,$333.00,INF-BRAYDONU,https://a8qh.short.gy/007E14,2024,USAP,Widebody,Durable Texture,Gen 2/Edgeless,Power,14,5.25,4.25,8.13,113,35%,6.50,59%,239,High,1981,55.5,37%,36.8,82%,60%,56.0,Firepower Balanced
Project 007 Invikta 14mm,Selkirk Labs,$333.00,INF-BRAYDONU,https://a8qh.short.gy/00714,2024,USAP,Elongated,Durable Texture,Gen 2,Power,14,,4.25,8.13,118,71%,5.94,21%,243,Very High,2005,56.5,77%,36.3,57%,67%,66.0,Firepower High
Black Diamond 14mm,Six Zero,$180.00,PBEFFECT,https://a8qh.short.gy/BD14,2024,USAP,Hybrid,Raw Texture/Peel Ply,Gen 2,Power,14,5.50,4.25,8.00,112,28%,6.46,57%,237,High,1988,55.6,40%,36.8,82%,61%,58.0,Firepower Balanced
Black Diamond 16mm,Six Zero,$179.99,PBEFFECT,https://a8qh.short.gy/BD,2023,USAP,Hybrid,Raw Texture/Peel Ply,Gen 2,Power,16,5.50,4.25,8.07,114,43%,6.67,71%,239,High,1981,55.9,52%,36.3,57%,55%,58.0,Firepower Balanced
Black Diamond Amethyst Pro,Six Zero,$199.00,PBEFFECT,https://a8qh.short.gy/BDPRO,2023,USAP,Hybrid,Raw Texture/Peel Ply,Gen 2,Power,16,5.50,4.25,8.23,115,49%,6.72,76%,234,,,,,,,,,
Black Diamond Infinity 16mm,Six Zero,$220.00,PBEFFECT,https://a8qh.short.gy/BDi,2023,USAP,Hybrid,Raw Texture/Peel Ply,Gen 2/Edgeless,All-Court,16,5.50,4.25,7.97,107,6%,5.80,12%,229,High,1990,52.8,2%,35.4,20%,11%,11.0,Firepower Soft
Black Opal ,Six Zero,$250.00,PBEFFECT,https://a8qh.short.gy/bo,2025,USAP/UPA-A,Hybrid,Raw Texture/Peel Ply,Gen 4,Power,14,5.50,4.25,8.10,114,43%,6.30,46%,239,Very High,2024,57.6,98%,37.0,89%,94%,85.0,Firepower Elite
Coral Elongated,Six Zero,$200.00,PBEFFECT,https://a8qh.short.gy/ce,2025,USAP,Elongated,Raw Texture/Peel Ply,Gen 4,All-Court,16,5.75,4.25,8.00,113,35%,6.03,27%,238,Very High,2023,56.4,74%,36.6,72%,73%,67.0,Firepower High
Coral Hybrid,Six Zero,$200.00,PBEFFECT,https://a8qh.short.gy/ch,2025,USAP,Hybrid,Raw Texture/Peel Ply,Gen 4,All-Court,16,5.50,4.25,8.16,112,28%,6.52,60%,236,High,1977,56.3,68%,36.4,62%,65%,64.0,Firepower Balanced
Coral Widebody,Six Zero,$200.00,PBEFFECT,https://a8qh.short.gy/cw,2025,USAP,Widebody,Raw Texture/Peel Ply,Gen 4,All-Court,16,5.50,4.25,8.26,108,10%,7.33,96%,231,Very High,2001,56.1,61%,36.4,62%,62%,61.0,Firepower Balanced
Double Black Diamond (Elongated),Six Zero,$189.99,PBEFFECT,https://a8qh.short.gy/DBDe,2024,USAP,Extra-elongated,Raw Texture/Peel Ply,Gen 2,All-Court,15,6.00,4.25,8.18,122,89%,5.74,11%,242,High,1931,56.0,56%,36.2,51%,54%,58.0,Firepower Balanced
Double Black Diamond 14 mm,Six Zero,$179.99,PBEFFECT,https://a8qh.short.gy/DBD,2023,USAP,Hybrid,Raw Texture/Peel Ply,Gen 2,All-Court,14,5.50,4.25,7.87,110,18%,6.18,36%,237,Medium,1925,53.5,9%,36.9,85%,47%,31.0,Firepower Soft
Double Black Diamond 16 mm,Six Zero,$179.99,PBEFFECT,https://a8qh.short.gy/DBD,2023,USAP,Hybrid,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.50,4.25,8.07,114,43%,6.55,63%,237,,,53.7,10%,35.9,36%,23%,26.0,Firepower Soft
Double Black Diamond Infinity 16mm,Six Zero,$220.00,PBEFFECT,https://a8qh.short.gy/DBDI,2023,USAP,Hybrid,Raw Texture/Peel Ply,Gen 2/Edgeless,Control,16,5.50,4.25,8.10,110,18%,5.90,18%,231,,,,,,,,,
Infinity Ruby,Six Zero,$220.00,PBEFFECT,https://a8qh.short.gy/IR,2024,USAP,Hybrid,Raw Texture/Peel Ply,Gen 2/Edgeless,Control,16,5.50,4.25,8.50,116,57%,6.00,24%,234,,,,,,,,,
Quartz,Six Zero,$89.99,PBEFFECT,https://a8qh.short.gy/Q,2024,USAP,Widebody,Raw Texture/Peel Ply,Gen 1,Control,15,5.00,4.25,7.97,108,10%,6.43,55%,234,High,1949,52.8,2%,34.8,8%,5%,6.0,Firepower Soft
Ruby,Six Zero,$200.00,PBEFFECT,https://a8qh.short.gy/ruby,2023,USAP,Hybrid,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.50,4.25,8.33,117,64%,6.81,80%,238,Low,,53.9,11%,35.3,18%,14%,24.0,Firepower Soft
Ruby (14mm),Six Zero,$199.99,PBEFFECT,https://a8qh.short.gy/R14,2024,USAP,Hybrid,Raw Texture/Peel Ply,Gen 2,Power,14,5.50,4.25,8.10,114,43%,6.53,60%,238,High,1965,55.4,34%,36.9,85%,60%,56.0,Firepower Balanced
Ruby Pro,Six Zero,$225.00,PBEFFECT,https://a8qh.short.gy/r-pro,2025,USAP,Hybrid,Raw Texture/Peel Ply,Gen 3,All-Court,14,5.50,4.25,8.10,114,43%,6.27,44%,238,,,,,,,,,
Sapphire,Six Zero,$99.99,PBEFFECT,https://a8qh.short.gy/Sap,2023,USAP,Elongated,Paint Grit,Gen 1.5,Power,13,5.50,4.25,7.90,111,23%,5.40,3%,224,,,,,,,,,
Sapphire V2,Six Zero,$139.99,PBEFFECT,https://a8qh.short.gy/SV2,2024,USAP,Elongated,Raw Texture/Peel Ply,Gen 2,Power,13,5.60,4.25,7.85,116,57%,6.19,38%,241,,,,,,,,,
ERA Power Elongated,SLK,$200.00,INF-BRAYDONU,https://a8qh.short.gy/ERAE,2025,USAP/UPA-A,Elongated,Raw Texture/Peel Ply,Gen 3,Power,16,5.75,4.25,8.00,117,64%,6.28,45%,241,,,,,,,,,
ERA Power Widebody,SLK,$200.00,INF-BRAYDONU,https://a8qh.short.gy/ERAW,2025,USAP/UPA-A,Widebody,Raw Texture/Peel Ply,Gen 3,Power,16,5.60,4.25,8.14,111,23%,7.16,92%,235,,,,,,,,,
